Time,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7
104,-0.05247619,-5.6315775,-4.2009134,-3.4929059,-8.220445,-7.3356805,-6.7048206
105,-0.05188407,-5.6397743,-4.204716,-3.5089152,-8.219852,-7.3409476,-6.696416
106,-0.051207356,-5.6498404,-4.214049,-3.52484,-8.221129,-7.3461304,-6.6898794
107,-0.050757952,-5.6513433,-4.2255626,-3.533668,-8.218726,-7.345681,-6.685524
108,-0.05058106,-5.658003,-4.2251415,-3.5393505,-8.216597,-7.3435516,-6.675582
109,-0.05003932,-5.660391,-4.2331448,-3.5529692,-8.216055,-7.3488684,-6.6711345
110,-0.049311567,-5.6723585,-4.242671,-3.570796,-8.221186,-7.359859,-6.6704063
111,-0.049114775,-5.669232,-4.2471128,-3.5759702,-8.219037,-7.3557563,-6.6643505
112,-0.048646037,-5.670717,-4.258363,-3.5857553,-8.222474,-7.361147,-6.6677876
113,-0.048474472,-5.6676154,-4.2606325,-3.5909548,-8.222302,-7.362929,-6.665663
114,-0.048265774,-5.6654534,-4.2631097,-3.597094,-8.224047,-7.366626,-6.665454
115,-0.04796995,-5.6553917,-4.2730675,-3.6036339,-8.221798,-7.3624244,-6.6671114
116,-0.047887467,-5.6543326,-4.2778683,-3.6040397,-8.225621,-7.3642945,-6.6689825
117,-0.04771916,-5.6512346,-4.283559,-3.6072896,-8.229359,-7.3660793,-6.670767
118,-0.047537748,-5.6461706,-4.285331,-3.6134558,-8.229177,-7.369804,-6.6686325
119,-0.047553,-5.6168885,-4.2926702,-3.613959,-8.209662,-7.3522415,-6.6627884
120,-0.04716053,-5.623332,-4.299602,-3.622356,-8.226848,-7.3674736,-6.6760674
121,-0.047471676,-5.6080184,-4.301378,-3.612413,-8.227159,-7.361926,-6.6802845
122,-0.047544245,-5.5914893,-4.3097515,-3.6071146,-8.236997,-7.365905,-6.6940293
123,-0.04793793,-5.5772347,-4.3116097,-3.5938365,-8.245203,-7.360439,-6.708094
124,-0.04849237,-5.5484924,-4.3106995,-3.5787656,-8.245758,-7.355134,-6.7203674
125,-0.049040403,-5.523649,-4.308806,-3.5636888,-8.254118,-7.353729,-6.740447
126,-0.050061695,-5.489514,-4.302503,-3.5373662,-8.257092,-7.3410788,-6.753186
127,-0.050854653,-5.4610105,-4.3037844,-3.5147219,-8.261791,-7.3321066,-6.769605
128,-0.05206382,-5.4319463,-4.292298,-3.4856575,-8.266907,-7.323551,-6.782532
129,-0.053242963,-5.396993,-4.2871294,-3.456562,-8.27004,-7.309104,-6.8012896
130,-0.05483595,-5.350734,-4.275783,-3.4210463,-8.265773,-7.289212,-6.8165545
131,-0.056595024,-5.3114786,-4.261917,-3.3827665,-8.265578,-7.2675333,-6.826126
132,-0.056780547,-5.309711,-4.263812,-3.376116,-8.283342,-7.2755313,-6.8477955
133,-0.057481624,-5.2918572,-4.2540145,-3.3631454,-8.285996,-7.272326,-6.8602157
134,-0.05828257,-5.2692213,-4.244318,-3.3483214,-8.288751,-7.271174,-6.8746886
135,-0.059162892,-5.253502,-4.228352,-3.333577,-8.289631,-7.2701015,-6.879475
136,-0.06007551,-5.2241397,-4.2129073,-3.3208177,-8.274919,-7.2553887,-6.8745284
137,-0.060627848,-5.2119966,-4.1990557,-3.3135576,-8.28133,-7.259847,-6.8848457
138,-0.062314928,-5.1970816,-4.1792583,-3.281065,-8.286923,-7.245909,-6.890439
139,-0.063998066,-5.147006,-4.162387,-3.2534516,-8.2847,-7.237827,-6.913606
140,-0.06650681,-5.0811553,-4.124123,-3.2198281,-8.259866,-7.2051787,-6.9180684
141,-0.06831469,-5.026078,-4.102982,-3.195269,-8.238236,-7.183549,-6.9413614
142,-0.06914851,-5.0515704,-4.055476,-3.192197,-8.229304,-7.198055,-6.9187565
143,-0.07015955,-5.0340266,-4.021576,-3.1863735,-8.22055,-7.2049255,-6.923674
144,-0.07224617,-4.9931445,-3.965801,-3.1708813,-8.207011,-7.207012,-6.927714
145,-0.07422124,-4.964602,-3.914554,-3.1552773,-8.207033,-7.2226586,-6.9335966
146,-0.07621564,-4.939253,-3.856979,-3.1426232,-8.226605,-7.25981,-6.957075
147,-0.080298565,-4.878394,-3.7629158,-3.1144788,-8.195533,-7.2736583,-6.9455333
148,-0.08487456,-4.847325,-3.6385856,-3.0956168,-8.139563,-7.284094,-6.899327
149,-0.08932841,-4.8227262,-3.550754,-3.065891,-8.079564,-7.2475314,-6.8373747
150,-0.0929251,-4.7980027,-3.50064,-3.0343313,-8.022614,-7.204253,-6.780425
151,-0.09703929,-4.7464533,-3.461296,-2.9935234,-7.985712,-7.163445,-6.7396183
152,-0.10049699,-4.7303796,-3.4169023,-2.9637783,-7.971591,-7.1493254,-6.70792
153,-0.10276726,-4.7082357,-3.3976886,-2.9426107,-7.925033,-7.108627,-6.657457
154,-0.10358154,-4.7139335,-3.3960617,-2.9307299,-7.892644,-7.0742846,-6.6113944
155,-0.1060968,-4.670551,-3.3829522,-2.906878,-7.8404717,-7.016253,-6.5631285
156,-0.10733646,-4.6473765,-3.3832152,-2.8915162,-7.8280396,-6.9901485,-6.5428834
157,-0.10743056,-4.6308694,-3.3979573,-2.8847742,-7.818368,-6.9687586,-6.527353
158,-0.106477566,-4.6191745,-3.4272776,-2.8857744,-7.8096027,-6.938509,-6.514681
159,-0.10543697,-4.610323,-3.4569983,-2.886687,-7.8222337,-6.933562,-6.529265
160,-0.10453224,-4.6035585,-3.4868565,-2.8857822,-7.8291416,-6.92289,-6.538126
161,-0.1035264,-4.598646,-3.5122178,-2.8896592,-7.8222766,-6.90626,-6.533214
162,-0.10250855,-4.596652,-3.5341492,-2.8954773,-7.811493,-6.8896174,-6.5263367
163,-0.10126957,-4.5963893,-3.5590332,-2.9030273,-7.8063474,-6.8766594,-6.5290036
164,-0.100018896,-4.5990453,-3.5819526,-2.9115424,-7.8050966,-6.867597,-6.5316596
165,-0.09851072,-4.6014433,-3.6063232,-2.923706,-7.807495,-6.866089,-6.54187
166,-0.0972165,-4.6050305,-3.6291988,-2.933154,-7.814013,-6.8667474,-6.5522947
167,-0.09562911,-4.6073494,-3.6556878,-2.946215,-7.8241444,-6.8710194,-6.570239
168,-0.09460597,-4.611209,-3.6717544,-2.9549575,-7.830934,-6.8758554,-6.580934
169,-0.093495846,-4.6110754,-3.6916404,-2.9645896,-7.83373,-6.8747454,-6.58959
170,-0.09188252,-4.625087,-3.7124882,-2.9795778,-7.851648,-6.8907104,-6.609462
171,-0.09063398,-4.632627,-3.7334564,-2.990048,-7.8640714,-6.899227,-6.621885
172,-0.089644425,-4.6365204,-3.7507772,-2.9988241,-7.8689413,-6.9021435,-6.630661
173,-0.088462755,-4.6411977,-3.7698596,-3.0103378,-7.8755717,-6.9068213,-6.6411986
174,-0.08732859,-4.6508055,-3.7789793,-3.0248284,-7.8861566,-6.9174056,-6.651784
175,-0.08612022,-4.6642456,-3.7926636,-3.0382688,-7.8986206,-6.925963,-6.6583886
176,-0.08472295,-4.6784735,-3.8064032,-3.0554261,-7.9089413,-6.9362855,-6.66871
177,-0.084145926,-4.6857085,-3.8119295,-3.0626616,-7.910318,-6.9376616,-6.6681333
178,-0.08322093,-4.693573,-3.8237004,-3.0734556,-7.9172053,-6.9445486,-6.6750193
179,-0.08227557,-4.6975102,-3.8344736,-3.086182,-7.9221196,-6.949463,-6.6818867
180,-0.08183411,-4.6970687,-3.8408685,-3.0920885,-7.9236307,-6.950975,-6.683398
181,-0.080797315,-4.708727,-3.8581426,-3.102282,-7.9362664,-6.9577503,-6.6921263
182,-0.07921613,-4.7344894,-3.8746285,-3.1212091,-7.9561696,-6.9796066,-6.704217
183,-0.07804356,-4.755778,-3.8788276,-3.139568,-7.9647627,-6.9881997,-6.7030444
184,-0.0766991,-4.770058,-3.8769946,-3.1660564,-7.9790435,-7.00248,-6.7114654
185,-0.07493979,-4.7907596,-3.8850017,-3.1960354,-8.000723,-7.022205,-6.7292366
186,-0.07367533,-4.803167,-3.8974073,-3.215278,-8.01899,-7.036566,-6.74555
187,-0.072364524,-4.821387,-3.9166038,-3.231545,-8.03721,-7.052833,-6.7598643
188,-0.07134928,-4.835997,-3.9282835,-3.2461545,-8.05182,-7.0635366,-6.7686152
189,-0.07010993,-4.8494053,-3.9421806,-3.2654228,-8.074017,-7.074016,-6.7849536
190,-0.06969298,-4.8480124,-3.9515295,-3.2708652,-8.081412,-7.0755525,-6.7923493
191,-0.068481326,-4.8663325,-3.9766848,-3.2833252,-8.107544,-7.089966,-6.8106685
192,-0.06775631,-4.87635,-3.999397,-3.287483,-8.12635,-7.0951004,-6.8236156
193,-0.06713704,-4.8854966,-4.016844,-3.292235,-8.137449,-7.10034,-6.8308086
194,-0.0666548,-4.8908734,-4.0329633,-3.2951705,-8.152593,-7.101811,-6.838139
195,-0.06599794,-4.8892403,-4.054767,-3.3013494,-8.163654,-7.101154,-6.8511534
196,-0.06547878,-4.887744,-4.073291,-3.3057134,-8.17876,-7.104541,-6.8623533
197,-0.065076984,-4.8961315,-4.096815,-3.30287,-8.193983,-7.111952,-6.87367
198,-0.06465399,-4.903521,-4.1168995,-3.3029351,-8.205278,-7.111529,-6.8791065
199,-0.0640285,-4.9116845,-4.1299458,-3.3110988,-8.220278,-7.1148095,-6.8882465
200,-0.06321436,-4.923566,-4.1515923,-3.319562,-8.242902,-7.119855,-6.903057
201,-0.062700704,-4.925982,-4.1681695,-3.3249078,-8.2541065,-7.1212945,-6.912309
202,-0.062122926,-4.930287,-4.187611,-3.3301892,-8.27306,-7.126576,-6.9273562
203,-0.062093113,-4.9224443,-4.2085776,-3.323812,-8.276936,-7.1167808,-6.9331865
204,-0.06194935,-4.9164414,-4.231871,-3.318785,-8.296324,-7.1146836,-6.9486685
205,-0.061938696,-4.904712,-4.2538333,-3.3124268,-8.304125,-7.110767,-6.9623294
206,-0.0622003,-4.8913016,-4.2770443,-3.2995052,-8.3122,-7.09931,-6.9723563
207,-0.062339988,-4.880699,-4.3035507,-3.287926,-8.327965,-7.095543,-6.988121
208,-0.062957495,-4.8637385,-4.3315125,-3.2660828,-8.332489,-7.084442,-6.9985046
209,-0.06364609,-4.8478246,-4.355638,-3.2443109,-8.34099,-7.0753646,-7.008959
210,-0.06447768,-4.821313,-4.376001,-3.223658,-8.337915,-7.052759,-7.01565
211,-0.06550258,-4.797924,-4.399487,-3.19734,-8.342846,-7.034252,-7.0322995
212,-0.0664998,-4.790132,-4.4415,-3.164158,-8.355562,-7.021578,-7.0469685
213,-0.06698209,-4.7925673,-4.4956937,-3.1382725,-8.375576,-7.012295,-7.068935
214,-0.068251126,-4.772352,-4.52919,-3.1073143,-8.369032,-6.9842668,-7.0760636
215,-0.069972165,-4.752589,-4.5514193,-3.070949,-8.366847,-6.958644,-7.083644
216,-0.07194062,-4.7281904,-4.56999,-3.0328782,-8.361003,-6.9410815,-7.087566
217,-0.07498977,-4.6755757,-4.579876,-2.983193,-8.364053,-6.9343653,-7.090615
218,-0.07874334,-4.612924,-4.5846043,-2.927376,-8.356087,-6.922492,-7.088509
219,-0.08233478,-4.5481567,-4.5872207,-2.8787215,-8.351866,-6.9182715,-7.0862412
220,-0.086351715,-4.480883,-4.5931897,-2.826586,-8.34807,-6.9144754,-7.082445
221,-0.08849264,-4.4439616,-4.6031427,-2.7994301,-8.342399,-6.914664,-7.076774
222,-0.08917676,-4.43195,-4.6155453,-2.789372,-8.339177,-6.919254,-7.081364
223,-0.08792822,-4.4512095,-4.6250386,-2.802772,-8.337928,-6.9199586,-7.085975
224,-0.08664625,-4.4655523,-4.62278,-2.8195565,-8.340552,-6.932349,-7.0964117
225,-0.08777965,-4.450084,-4.6209836,-2.8055532,-8.33778,-6.9295754,-7.0994983
226,-0.087511115,-4.453722,-4.6314573,-2.8072376,-8.333605,-6.9234476,-7.1070423
227,-0.087614946,-4.4528494,-4.6178894,-2.8083181,-8.32199,-6.913786,-7.101287
228,-0.090463154,-4.4156585,-4.601207,-2.77601,-8.313118,-6.906869,-7.090463
229,-0.091995426,-4.4103546,-4.6212935,-2.7516625,-8.334183,-6.906448,-7.0861363
230,-0.093267985,-4.403815,-4.626472,-2.7343807,-8.327643,-6.8999076,-7.0737367
231,-0.09367204,-4.397383,-4.616134,-2.7313666,-8.320234,-6.9100776,-7.0741405
232,-0.09318914,-4.4027596,-4.618581,-2.7367432,-8.315845,-6.913501,-7.071705
233,-0.09183266,-4.421911,-4.6191773,-2.751988,-8.314487,-6.9336295,-7.0703487
234,-0.08999777,-4.451326,-4.6261315,-2.7716374,-8.308747,-6.953279,-7.0704665
235,-0.08744821,-4.492722,-4.6392064,-2.800339,-8.278854,-6.9370575,-7.054245
236,-0.08277582,-4.5581193,-4.6345344,-2.8610961,-8.289806,-6.967541,-7.0691037
237,-0.080448166,-4.5972953,-4.6283007,-2.892948,-8.287478,-6.978885,-7.0687294
238,-0.07940288,-4.6113863,-4.6155367,-2.9104576,-8.286433,-6.97784,-7.0559654
239,-0.07832689,-4.61617,-4.5959063,-2.9318423,-8.277545,-6.980671,-7.045124
240,-0.07746838,-4.625077,-4.5794244,-2.9485621,-8.27278,-6.9837184,-7.0325465
241,-0.07632699,-4.637607,-4.5733995,-2.9679284,-8.267733,-6.9845304,-7.0235925
242,-0.07581755,-4.645398,-4.5728903,-2.9762082,-8.255505,-6.9781613,-7.0094113
243,-0.075419806,-4.654278,-4.574446,-2.98167,-8.255107,-6.973857,-7.0031543
244,-0.07474573,-4.659463,-4.5757256,-2.9927146,-8.254433,-6.9790425,-7.0044336
245,-0.07396724,-4.673577,-4.5876403,-3.0017016,-8.265373,-6.9899826,-7.011467
246,-0.073212445,-4.6904,-4.601534,-3.0097358,-8.264618,-6.9970407,-7.0126657
247,-0.07238259,-4.7071486,-4.6016808,-3.022578,-8.259882,-6.996211,-7.0020704
248,-0.07147059,-4.7072124,-4.591003,-3.0421739,-8.255064,-7.0050645,-7.0070176
249,-0.070554756,-4.717039,-4.5881343,-3.0588362,-8.254148,-7.0119605,-7.006102
250,-0.07000195,-4.7242985,-4.5895343,-3.068049,-8.253595,-7.017267,-7.0075016
251,-0.06862062,-4.750261,-4.5920596,-3.0901053,-8.263932,-7.0334644,-7.01198
252,-0.06745121,-4.7695994,-4.5957727,-3.1094441,-8.274482,-7.045967,-7.0166698
253,-0.066491455,-4.783288,-4.6026254,-3.1250863,-8.281334,-7.058679,-7.0254755
254,-0.06558206,-4.7999563,-4.6124578,-3.1388254,-8.288238,-7.0694885,-7.0304255
255,-0.064893104,-4.8100095,-4.6156754,-3.1508324,-8.295361,-7.0785646,-7.0355964
256,-0.06417416,-4.8249154,-4.621792,-3.1618323,-8.30636,-7.095424,-7.044643
257,-0.063185856,-4.8424816,-4.6364284,-3.1764698,-8.324904,-7.1100607,-7.0592794
258,-0.062525876,-4.852565,-4.643581,-3.1875274,-8.328151,-7.1172137,-7.066432
259,-0.062078528,-4.864813,-4.645087,-3.1948924,-8.33161,-7.1265316,-7.0659847
260,-0.061413955,-4.8748903,-4.653211,-3.2059464,-8.342664,-7.137586,-7.0750856
261,-0.06090875,-4.884151,-4.6634483,-3.2132535,-8.346065,-7.144893,-7.082393
262,-0.0605295,-4.887678,-4.6699047,-3.2197099,-8.353498,-7.150373,-7.0878735
263,-0.060034428,-4.9028077,-4.674292,-3.2270274,-8.364722,-7.165503,-7.0951905
